,year,Net Sales,Membership and Other Income,Gross Profit,Segment Operating income,Total SG&A
0,2022,487032.4925117136,4649.333757876389,147547.33276388352,32020.61538543395,447010.5656362734
1,2023,514230.02189427085,4760.471510926378,149326.56320517533,31073.96008052535,448920.0060863798
2,2024,515618.18880252127,4871.609263976396,149246.0105130771,31037.127745215323,448433.7912360027
3,2025,515623.9043892919,4982.747017026413,149280.19299703304,31009.576238678288,448457.9463914663
